MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPB6630082,2C,10,3.7V,4.2V,1650,48,33.5±1.5,4.5±0.9,83.0±0.5,30.0±0.5,6.4±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
LFP6088106,1C,1,3.2V,3.65V,5000,32,106.0±3.0,3.3±2.0,107.0±0.5,88.0±0.5,5.8±0.2,35±1.0,LiFePO4,10.0±1.0,8,0.1,5.0±0.2,
SLPBA342126HV,10A,15,3.8V,4.35V,6100,96,111.5±2.5,1.5±0.3,127.5±0.5,42.0±0.5,9.6±0.3,18.0±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB7170135,1C,5,3.7V,4.2V,8100,80,145.0±3.0,1.7±0.3,135.5±0.5,70.0±0.5,6.8±0.3,25±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8334096,1C,5,3.7V,4.2V,3200,48,57.5±2.0,3.6±0.7,97.5±0.5,33.0±0.5,8.0±0.3,17.5±1.5,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB9635062,2C,35,3.7V,4.2V,1800,80,42.0±1.5,1.9±0.4,63.5±0.5,35.0±0.5,9.5±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7763135,10A,15,3.7V,4.2V,7000,120,141.5±3.0,1.2±0.2,135.0±0.5,62.5±0.5,7.4±0.3,29±1,LCO,32.0±1.0,15,0.2,5.0±0.2,
SLPB7670135,1C,5,3.7V,4.2V,8100,80,145.0±3.0,1.7±0.3,135.5±0.5,70.0±0.5,6.8±0.3,25±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5130048,1C,25,3.7V,4.2V,600,64,14.5±1.5,7.5±1.5,49.5±0.5,30.5±0.5,4.9±0.2,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7965086,1C,5,3.7V,4.2V,5500,96,97.5±2.5,2.1±0.4,87.0±0.5,64.5±0.5,7.6±0.3,24±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8334106,2C,35,3.7V,4.2V,2800,80,62.5±2.0,1.6±0.3,106.0±0.5,34.0±0.5,8.0±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8219096,1C,15,3.7V,4.2V,1350,32,28.0±1.5,5.4±1.1,97.0±0.5,19.0±0.5,7.4±0.3,9±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB5517095,1C,20,3.7V,4.2V,780,32,17.8±1.0,6.6±1.3,96.0±0.5,17.0±0.5,5.2±0.2,7.0-7.5,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB5842080,1C,5,3.7V,4.2V,2280,64,41.5±1.5,4.7±0.9,80.5±0.5,42.0±0.5,5.6±0.2,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB8363124,10A,15,3.7V,4.2V,7500,160,148.0±3.0,1.1±0.2,126.0±0.5,63.0±0.5,8.1±0.3,30±1,LCO,22.0±1.0,20,0.2,5.0±0.2,
SLPB6042126,1C,5,3.7V,4.2V,3900,80,70.5±2.0,2.9±0.6,127.0±0.5,42.0±0.5,5.8±0.2,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB4842126,1C,5,3.7V,4.2V,3000,80,55.0±1.5,3.9±0.8,126.5±0.5,42.0±0.5,4.6±0.2,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5845135,1C,5,3.7V,4.2V,4300,80,77.5±2.0,2.6±0.5,135.0±0.5,45.0±0.5,5.6±0.2,22±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6034096,2C,15,3.7V,4.2V,2000,64,41.0±1.5,3.1±0.6,97.0±0.5,34.0±0.5,5.8±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7342124,2C,8,3.7V,4.2V,4500,80,84.5±2.0,2±0.4,125.0±0.5,42.0±0.5,7.0±0.3,16.5±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7935062,1C,40,3.7V,4.2V,1300,80,33.5±1.5,2.1±0.4,63.0±0.5,35.0±0.5,7.8±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9878146HV,1C,5,3.8V,4.35V,15000,200,240.0±5.0,1±0.3,145.5±0.5,78.0±0.5,9.5±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB7634060,2C,15,3.7V,4.2V,1500,64,31.5±1.5,4.3±0.9,62.0±0.5,34.0±0.5,7.3±0.3,17±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7143058,2C,20,3.7V,4.2V,1650,64,36.0±1.5,3.1±0.6,60.0±0.5,43.0±0.5,6.8±0.3,21±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7045150,2C,30,3.7V,4.2V,4800,120,104.0±2.5,1.3±0.3,150.0±0.5,45.0±0.5,6.7±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6534106,2C,15,3.7V,4.2V,2300,64,47.0±1.5,2.9±0.6,106.0±0.5,34.0±0.5,6.3±0.2,17±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6035062,1C,15,3.7V,4.2V,1200,48,25.5±1.5,5.3±1.1,63.0±0.5,35.0±0.5,5.8±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB5030060,1C,15,3.7V,4.2V,800,48,17.5±1.0,8.2±1.6,62.0±0.5,30.0±0.5,4.8±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB9335062,2C,40,3.7V,4.2V,1550,80,39.5±1.5,1.8±0.4,63.0±0.5,35.0±0.5,9.2±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9739146HV,1C,5,3.8V,4.35V,7400,96,121.0±3.0,2.4±0.6,146.0±0.5,39.0±0.5,9.4±0.3,19±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB5436044,1C,5,3.7V,4.2V,850,48,16.5±1.5,11.1±1.1,44.5±0.5,36.0±0.5,5.2±0.2,18±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB8936128,2C,15,3.7V,4.2V,4200,80,85.0±2.0,1.9±0.4,129.0±0.5,36.0±0.5,8.5±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA644124,10A,20,3.7V,4.2V,6200,120,129.5±3.0,1.1±0.2,125.5±0.5,43.0±0.5,10.3±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB4525035,1C,20,3.7V,4.2V,250,20,6.5±1.0,18.5±1.9,35.0±0.5,25.0±0.5,4.3±0.2,12±1,LCO,17.0±1.0,5,0.1,4.0±0.2,
SLPB7746143,10A,20,3.7V,4.2V,5200,96,109.5±2.5,1.3±0.3,144.0±0.5,46.0±0.5,7.4±0.3,23±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7082078,1C,3,3.7V,4.2V,5000,120,90.0±2.0,2.4±0.5,77.5±0.5,81.5±0.5,6.7±0.3,35±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB6020122,1C,30,3.7V,4.2V,1250,32,29.5±1.5,4.1±0.8,117.0±0.5,20.0±0.5,5.8±0.2,10±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB6156052HV,2C,10,3.8V,4.35V,1900,64,35.0±1.5,4.5±0.9,53.0±0.5,56.0±0.5,5.9±0.2,35±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPB6233070,1C,5,3.7V,4.2V,1650,48,30.0±1.5,6.1±1.2,70.5±0.5,33.5±0.5,6.0±0.2,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBA442124,10A,20,3.7V,4.2V,5500,96,116.5±2.5,1.5±0.3,125.5±0.5,41.8±0.5,9.9±0.3,21±1,LCO,30.0±1.0,12,0.2,5.0±0.2,
SLPB9642126,10A,30,3.7V,4.2V,5000,120,109.5±2.5,1.4±0.3,127.5±0.5,42.0±0.5,9.3±0.3,21±1,LCO,20.0±1.0,15,0.2,5.0±0.2,
SLPB5429046,1C,15,3.7V,4.2V,600,48,13.0±1.0,9.4±1.9,46.0±0.5,29.0±0.5,5.2±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7030048,1C,10,3.7V,4.2V,1000,48,20.0±1.5,6.4±1.3,50.0±0.5,30.0±0.5,6.7±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6456052HV,2C,10,3.8V,4.35V,1950,64,38.0±1.5,4.7±0.9,53.0±0.5,56.0±0.5,6.2±0.2,35±1,LCO+NCM,10.0±1.0,8,0.2,5.0±0.2,
SLPB9070175,1C,5,3.7V,4.2V,12500,120,218.0±3.0,1.2±0.2,173.5±0.5,69.5±0.5,7.9±0.3,32±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB7530048,1C,5,3.7V,4.2V,1100,48,20.5±1.5,9±1.8,50.0±0.5,30.0±0.5,7.2±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8243080,1C,5,3.7V,4.2V,3400,48,62.5±2.0,3.2±0.6,83.0±0.5,43.0±0.5,7.9±0.3,25±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBA175175HV,10A,10,3.8V,4.35V,16800,200,286.0±5.0,0.7±0.2,174.5±0.5,74.5±0.5,9.8±0.3,38±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPBA875175,10A,20,3.7V,4.2V,16000,200,315.0±5.0,0.6±0.2,174.5±0.5,74.5±0.5,10.5±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB4124048,1C,10,3.7V,4.2V,420,48,9.2±1.0,14.3±1.4,48.5±0.5,24.5±0.5,3.9±0.2,12±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB3634101,1C,30,3.7V,4.2V,1000,64,24.0±1.5,4.5±0.9,101.0±0.5,34.0±0.5,3.4±0.2,16±1,LCO,10.0±1.0,8,0.2,9.1±0.2,
SLPB7495132HV,1C,5,3.8V,4.35V,11600,160,192.0±3.0,1.4±0.3,131.5±0.5,95.0±0.5,7.1±0.3,40±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPB8924048,1C,30,3.7V,4.2V,850,32,19.0±1.0,5.5±1.1,49.0±0.5,24.0±0.5,8.4±0.3,12±1,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB7840078,2C,8,3.7V,4.2V,2700,64,49.5±1.5,3.8±0.8,79.0±0.5,40.0±0.5,7.5±0.3,18±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5642080,2C,8,3.7V,4.2V,2100,64,40.0±1.5,3.9±0.8,80.5±0.5,42.0±0.5,5.4±0.2,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB4524042,1C,15,3.7V,4.2V,350,32,8.5±1.0,15.5±1.6,44.0±0.5,24.0±0.5,4.3±0.2,12±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB4830048,1C,20,3.7V,4.2V,500,48,12.0±1.0,9.1±1.8,49.5±0.5,30.5±0.5,4.4±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7430085,1C,5,3.7V,4.2V,2000,64,36.5±1.5,4.7±0.9,86.0±0.5,30.0±0.5,6.8±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5530048,1C,20,3.7V,4.2V,650,48,15.0±1.0,10.8±1.1,49.5±0.5,30.0±0.5,5.3±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7650060,2C,30,3.7V,4.2V,2000,80,45.0±1.5,2.2±0.4,61.0±0.5,50.0±0.5,7.3±0.3,25±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9764159,10A,15,3.7V,4.2V,10000,160,200±3.0,1.1±0.2,158.5±0.5,64.5±0.5,8.9±0.3,29±1,LCO,30.0±1.0,20,0.2,8.3±0.2,
SLPB6234060,1C,5,3.7V,4.2V,1350,48,25.5±1.5,7.3±1.5,61.5±0.5,34.0±0.5,6.0±0.2,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB4043085,1C,10,3.7V,4.2V,1250,48,26.5±1.5,5.6±1.1,84.5±0.5,43.5±0.5,3.8±0.2,23±1,LCO,10.0±1.0,6,0.2,9.1±0.2,
SLPB9442121,10A,30,3.7V,4.2V,5000,120,107.5±2.5,1.1±0.2,122.0±0.5,42.0±0.5,9.1±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7930082,2C,40,3.7V,4.2V,1550,64,39.5±1.5,2.1±0.4,83.5±0.5,30.0±0.5,7.8±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7649135,10A,20,3.7V,4.2V,5100,120,109.0±2.5,1.3±0.3,136.0±0.5,49.0±0.5,7.3±0.3,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9070175,10A,20,3.7V,4.2V,11300,160,235.0±5.0,0.755,173.5±1.0,69.5±0.5,8.7±0.3,32±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB5818055,1C,25,3.7V,4.2V,420,12,10.5±1.0,10.8±1.1,54.5±0.5,17.5±0.5,5.2±0.2,6±0.5,LCO,10.0±1.0,2,0.15,4.0±0.2,
SLPB5345135,2C,20,3.7V,4.2V,3000,80,66.5±2.0,1.9±0.4,134.5±0.5,45.0±0.5,5.0±0.2,20±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA042126,10A,30,3.7V,4.2V,5300,120,116.5±2.5,1.3±0.3,127.5±0.5,42.0±0.5,9.7±0.3,21±1,LCO,30.0±1.0,15,0.2,5.0±0.2,
SLPB6456052,2C,10,3.7V,4.2V,1900,64,37.5±1.5,4.1±0.8,53.0±0.5,56.0±0.5,6.2±0.2,35±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7424048,1C,8,3.7V,4.2V,840,48,16.5±1.5,9.1±1.8,49.0±0.5,24.0±0.5,7.1±0.3,12±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB5742080,2C,15,3.7V,4.2V,1950,64,40.5±1.5,3.4±0.7,80.5±0.5,42.0±0.5,5.5±0.2,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB5742085,2C,15,3.7V,4.2V,2150,80,43.0±2.0,2.9±0.6,85.5±0.5,42.0±0.5,5.4±0.2,16.5±1,LCO,10.0±1.0,10,0.2,4.0±0.2,
SLPB9174115HV,10A,8,3.8V,4.35V,9000,160,156.5±3.0,1.2±0.2,114.5±0.5,73.5±0.5,8.8±0.3,38±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPB9583145,1C,5,3.7V,4.2V,14000,160,246.0±5.0,1±0.3,144.5±0.5,83.0±0.5,9.2±0.3,40±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB9438110,2C,20,3.7V,4.2V,3800,80,81.0±2.0,1.6±0.3,111.5±0.5,38.0±0.5,9.1±0.3,20±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8670175HV,1C,5,3.8V,4.35V,13800,144,225.0±5.0,1.2±0.2,174.0±1.0,69.5±0.5,8.3±0.3,32±1,LCO+NCM,10.0±1.0,18,0.2,8.3±0.2,
SLPB8261064,1C,5,3.7V,4.2V,3700,80,67.0±2.0,2.9±0.6,65.0±0.5,61.0±0.5,7.9±0.3,30±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
LFP6767182,1C,3,3.2V,3.65V,8000,40,167.0±5.0,3.0±1.5,184.0±0.5,67.0±0.5,6.5±0.2,35±1,LiFePO4,10.0±1.0,10,0.1,5.0±0.2,
SLPB5519096,1C,15,3.7V,4.2V,950,32,20.5±1.0,7±1.4,96.5±0.5,19±0.5,5.3±0.2,9±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB7243058,2C,15,3.7V,4.2V,1850,64,36.5±2.0,3.2±0.6,60.0±0.5,43.0±0.5,6.8±0.3,21±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6256086,2C,15,3.7V,4.2V,3200,96,66.0±2.0,2.1±0.4,87.5±0.5,56.5±0.5,6.0±0.2,26±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6424064,1C,15,3.7V,4.2V,900,48,19.5±1.5,6.6±1.3,65.5±0.5,24.0±0.5,6.2±0.2,11±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7682262,1C,5,3.7V,4.2V,21000,200,372.0±5.0,0.9±0.3,261.5±0.5,82.0±0.5,7.3±0.3,40±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB7244115,1C,3,3.7V,4.2V,4600,80,82.0±3.0,2.9±0.6,116.0±0.5,44.0±0.5,6.9±0.3,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6534096,2C,15,3.7V,4.2V,2100,64,43.0±1.5,3.1±0.6,97.0±0.5,34.0±0.5,6.3±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6430048,1C,15,3.7V,4.2V,800,48,17.5±1.0,7.2±1.4,50.0±0.5,30.0±0.5,6.1±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB5834122,1C,5,3.7V,4.2V,2800,80,51.0±1.5,4±0.8,122.0±0.5,34.0±0.5,5.6±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7034106,2C,8,3.7V,4.2V,2900,80,53.5±1.5,3.1±0.6,106.0±0.5,33.5±0.5,6.7±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7658150,10A,30,3.7V,4.2V,6800,120,148.0±3.0,0.9±0.3,151.0±0.5,58.0±0.5,7.3±0.3,24±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6945180,10A,20,3.7V,4.2V,5500,120,117.0±3.0,1.2±0.2,180.0±0.5,45.0±0.5,6.4±0.2,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5634096,2C,25,3.7V,4.2V,1650,64,37.0±1.5,3.1±0.6,96.5±0.5,34.0±0.5,5.4±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
LFP8067220,1C,1,3.2V,3.65V,10000,40,210.0±5.0,3.5±1.5,217.0±0.5,66.0±0.5,7.1±0.3,36±1,LiFePO4,10.0±1.0,10,0.1,5.0±0.2,
SLPB7046143,2C,20,3.7V,4.2V,4500,96,96.0±2.5,1.4±0.3,143.5±0.5,46.0±0.5,6.6±0.3,23±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7743135,2C,20,3.7V,4.2V,4000,96,87.5±2.0,1.5±0.3,135.0±0.5,43.0±0.5,6.7±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6943143,2C,20,3.7V,4.2V,4200,96,90.0±2.5,1.5±0.3,144.0±0.5,42.5±0.5,6.6±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA675175,10A,10,3.7V,4.2V,16800,200,317.0±5.0,0.9±0.3,174.0±1.0,74.5±0.5,10.2±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB7842080,1C,5,3.7V,4.2V,3150,64,57.0±1.5,2.7±0.5,81.0±0.5,42.0±0.5,7.5±0.3,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB7345135,1C,5,3.7V,4.2V,5400,96,96.0±2.5,2.3±0.5,135.0±0.5,45.0±0.5,7.0±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB5635062,1C,25,3.7V,4.2V,1000,80,23.0±1.5,4.4±0.9,62.5±0.5,35.0±0.5,5.3±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6030085,1C,15,3.7V,4.2V,1300,48,27.5±1.5,4.8±1,86.0±0.5,30.0±0.5,5.3±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB9445090,2C,20,3.7V,4.2V,3600,80,76.5±2.0,1.6±0.3,91.5±0.5,45.0±0.5,8.6±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6024042,1C,15,3.7V,4.2V,500,32,11.0±1.0,11.7±1.2,44.0±0.5,24.0±0.5,5.8±0.2,12±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB7646143,10A,30,3.7V,4.2V,5000,120,106.0±2.5,1.2±0.2,144.0±0.5,46.0±0.5,7.0±0.3,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8955092,1C,5,3.7V,4.2V,5200,80,95.5±2.0,2.4±0.5,92.0±0.5,55.0±0.5,8.4±0.3,30±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7035062,1C,30,3.7V,4.2V,1300,80,30.0±1.5,3.1±0.6,63.0±0.5,35.0±0.5,6.7±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7156104HV,1C,5,3.8V,4.35V,5100,96,85.0±2.0,2.6±0.5,104.0±0.5,56.0±0.5,6.7±0.2,26±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB7334096,2C,20,3.7V,4.2V,2200,64,48.5±1.5,2.7±0.5,97.0±0.5,33.5±0.5,6.8±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7134098,1C,5,3.7V,4.2V,2800,48,51.0±1.5,4±0.8,99.0±0.5,33.0±0.5,6.8±0.3,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7864155,10A,15,3.7V,4.2V,8000,144,162.0±3.0,1.1±0.3,155.0±0.5,64.0±0.5,7.2±0.3,29±1,LCO,12.0±1.0,18,0.2,5.0±0.2,
SLPB7063133HV,1C,5,3.8V,4.35V,7600,120,128.0±3.0,1.8±0.4,133.0±0.5,63.0±0.5,6.7±0.3,30±1,LCO+NCM,10.0±1.0,15,0.2,5.0±0.2,
SLPB9377068,2C,8,3.7V,4.2V,4900,80,92.5±2.5,2.1±0.4,67.5±0.5,77.0±0.5,8.9±0.3,35±1,LCO,10.0±1.0,10,0.2,8.3±0.2,
SLPB9536128,10A,8,3.7V,4.2V,5000,80,93.0±2.5,2.1±0.4,129.0±0.5,36.0±0.5,8.9±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7542124,2C,10,3.7V,4.2V,4550,96,89.0±2.0,1.8±0.4,125.0±0.5,42.0±0.5,7.2±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6016075,1C,10,3.7V,4.2V,700,32,14.8±1.0,10.8±1.1,75.0±0.5,16.5±0.5,5.8±0.2,7.5-8.0,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB5542126,2C,15,3.7V,4.2V,2900,80,60.0±1.5,2.4±0.5,127.0±0.5,42.0±0.5,5.2±0.2,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8364155,10A,20,3.7V,4.2V,8000,160,167.0±3.0,0.9±0.3,155.5±0.5,64.0±0.5,7.6±0.3,29±1,LCO,12.0±1.0,20,0.2,5.0±0.2,
SLPB8763124,10A,15,3.7V,4.2V,7500,160,148.0±3.0,1.1±0.2,126.0±0.5,63.0±0.5,8.1±0.3,30±1,LCO,10.0±1.0,20,0.2,5.0±0.2,
SLPB8545150,10A,25,3.7V,4.2V,5800,120,125.0±2.5,1.4±0.3,150.0±0.5,45.0±0.5,8.2±0.3,22±1,LCO,40.0±1.0,15,0.2,5.0±0.2,
SLPBA575175,10A,10,3.7V,4.2V,16800,200,317.0±5.0,0.9±0.3,174.0±1.0,74.5±0.5,10.2±0.3,38±1,LCO,30.0±1.0,25,0.2,8.3±0.2,
SLPB5242085HV,2C,15,3.8V,4.35V,2000,80,39.0±1.5,3.3±0.7,85.5±0.5,42.5±0.5,5.0±0.2,16.5±1,LCO+NCM,10.0±1.0,10,0.2,4.0±0.2,
SLPBA875175,1C,5,3.7V,4.2V,18000,200,310.0±5.0,0.9±0.3,174.5±0.5,74.5±0.5,10.3±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPBA570145,1C,5,3.7V,4.2V,12500,144,221.0±5.0,1.2±0.2,144.5±0.5,70.0±0.5,9.7±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB9465165HV,1C,5,3.8V,4.35V,13600,160,220.0±5.0,1.1±0.2,165.0±0.5,65.0±0.5,9.1±0.3,33±1,LCO+NCM,10.0±1.0,20,0.2,5.0±0.2,
LFP9041072,1C,1,3.2V,3.65V,2300,20,50.0±2.5,6.5±3.5,73.0±0.5,40.5±0.5,8.8±0.2,18.5±1,LiFePO4,10.0±1.0,5,0.1,5.0±0.2,
SLPB6534096,1C,5,3.7V,4.2V,2600,48,46.0±1.5,4.4±0.9,97.0±0.5,33.5±0.5,6.3±0.2,17.5±1.5,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8570175,10A,10,3.7V,4.2V,12000,144,229.0±3.0,1.1±0.2,174.0±1.0,69.5±0.5,8.2±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB8934106,2C,30,3.7V,4.2V,3000,80,65.5±2.0,1.8±0.4,106.0±0.5,34.0±0.5,8.6±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9170175,10A,15,3.7V,4.2V,12000,144,236.0±3.0,0.8±0.2,173.5±1.0,69.5±0.5,8.8±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB9070175,10A,10,3.7V,4.2V,12800,144,236.0±3.0,1±0.3,173.5±1.0,69.5±0.5,8.7±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB9377080,10A,8,3.7V,4.2V,6000,96,114.0±2.5,1.6±0.3,79.5±0.5,77.0±0.5,9.0±0.3,36±1,LCO,10.0±1.0,12,0.2,8.3±0.2,
SLPB8630048,1C,30,3.7V,4.2V,1000,64,23.0±1.5,4.5±0.9,50.0±0.5,30.0±0.5,8.1±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB4428045,1C,20,3.7V,4.2V,450,48,10.4±0.6,10.4±1,45.5±0.5,28.5±0.5,4.2±0.2,13±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB5721038,1C,5,3.7V,4.2V,400,32,8.5±1.0,24.9±2.5,37.5±0.5,21.5±0.5,5.5±0.2,11±1,LCO,10.0±1.0,4,0.2,3.8±0.2,
SLPB5342124,2C,20,3.7V,4.2V,2500,80,55.0±1.5,2.3±0.5,125.0±0.5,41.8±0.5,4.9±0.2,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7748150,10A,15,3.7V,4.2V,6000,96,120.0±3.0,1.3±0.3,150.0±0.5,48.0±0.5,7.4±0.3,25±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
